date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-04-27,0.08689300996840998,24.84211229962794,47.36919037477299,173.7440332350763,50.2435,29.263611111111107,9.5929325,31.366896875,102.02771359058951,51.982821984126986,32.044835858585856,22.47347751322751,38.449305555555554,2.6153846153846154,-0.29551282051282046,0.7403846153846154,7.0576923076923075,120.238853246006,1.8
2014-04-28,0.11173543773124267,16.809366252068802,54.85842466905629,86.28190079674079,28.67106944444444,253.25093333333334,32.02416145124717,38.71683783511175,63.645862373433346,41.989187996031745,14.4395,11.278078571428571,9.393666666666666,3.9411764705882355,-0.15266666666666664,0.7113333333333334,7.126666666666666,93.86392517883397,2.5555555555555554
2014-04-29,0.10416403519986474,18.547252221287824,46.41597959921418,83.94574481868449,38.376374285714284,220.39343333333335,14.389203003003004,13.275797577927124,72.59953286546535,52.74819659863946,33.94000333333334,10.694283555041451,12.851333333333335,4.0,-0.14066666666666666,0.662,6.9079999999999995,71.93519974296942,4.285714285714286
2014-04-30,0.11161514433352565,-6.386857269344549,48.05767642194489,72.40480596686814,46.389833333333335,26.219833333333337,35.633650793650794,35.02047450396825,71.71120484497796,43.98018543430254,30.490685714285714,39.78598653198653,5.067,3.2,-0.16987179487179485,0.625,6.880128205128205,92.19884100872497,2.25
2014-05-01,0.11771966756136198,19.3999579483355,58.37089346365905,103.83289849704585,20.119386538461537,226.8027711111111,19.566308653846153,15.693582695746283,100.66883361390856,43.150594999999996,29.2671,37.071279396202925,27.6605,5.909090909090909,-0.2846666666666667,0.6926666666666667,7.097333333333333,79.66472351106125,2.0
2014-05-02,0.15149999302372275,21.11556232094979,42.1998271653199,67.9286871729915,20.756402356902356,96.98494166666666,54.19326113283372,18.934906964285712,78.09952951440076,52.27475408163265,40.119586734693875,11.399900757575757,9.5885,4.142857142857143,-0.17028985507246375,0.7999999999999999,7.152898550724638,75.91432371802298,3.5
2014-05-03,0.14212646114359537,18.47034140036742,46.17158182321507,64.50739287261395,22.897072916666666,34.678629629629626,97.57041860465117,10.615098593073593,71.60688190266977,398.4257833333333,26.082940476190476,36.576118055555554,43.93,3.1875,-0.11811594202898551,0.7021739130434782,7.084782608695652,71.23866669890965,2.0
2014-05-04,0.1128866341156129,17.161244191234506,46.661404305542035,77.90480848001363,29.127,373.16044444444447,35.05791313131313,15.513920753968254,74.97842024087541,30.837353333333333,85.09095,16.310603571428572,28.1645,3.0,-0.30069444444444443,0.7868055555555555,7.301388888888888,82.84173498174049,2.5
2014-05-05,0.05754754105014861,45.549405198977915,41.16042109198512,79.02722622549449,8.62975,139.26816666666667,16.928759174311928,13.01569412878788,100.53983896520147,52.075421717171714,112.99883333333332,28.02992872807018,21.407,8.714285714285714,-0.2717391304347826,0.6666666666666667,6.869565217391305,94.96913044554924,7.0
2014-05-06,0.12053880698920004,15.102012074206085,53.770993268899254,89.01615833424015,3.33725,84.28666666666666,16.29888112113402,12.417006153846154,96.05557040049618,35.311699999999995,76.30381666666668,35.042875,28.913999999999998,2.7777777777777777,,,,109.64913615580934,1.3333333333333333
2014-05-07,0.07260751347909224,21.119064215417097,34.946898102321164,47.94550299523495,24.808,98.96515277777776,27.197296428571427,26.928284393939396,61.82323547736985,36.12291666666667,24.74066666666667,3.0039,6.214333333333333,2.1666666666666665,-0.0763888888888889,0.3833333333333333,6.808333333333334,77.77990871591291,2.25
2014-05-08,0.06638294708567692,22.968113126336263,61.612978799852335,48.16632534852629,,84.5432,15.497126984126984,12.4958,87.73828956105439,41.04161111111111,90.08436363636363,4.7993125,12.107071428571428,4.8,-0.015151515151515159,0.6136363636363636,6.863636363636363,84.83730751785913,1.6666666666666667
2014-05-09,0.07457175211735828,27.86253929420951,50.15160380393416,110.52006275593774,21.777666666666665,11.935,23.0567125,26.594316666666668,108.71116960725678,12.0330625,48.784,11.98225,24.8295,4.25,0.08809523809523807,0.5071428571428571,6.792857142857143,103.31313040831184,3.0
2014-05-10,0.10190246546228843,14.419061796792832,47.0067463570845,33.35009088888889,,19.600250000000003,9.309194444444444,11.259525396825396,109.29897502951765,35.8938431372549,339.493,8.855666666666666,14.57525,4.666666666666667,0.07380952380952378,0.65,7.254761904761905,98.7965842904362,1.0
2014-05-11,0.05341788321496657,13.366768195824585,51.201009593732465,17.30704861111111,,,5.794734042553191,14.150127777777778,70.89123913630229,30.981499999999997,3.403,,12.616024999999999,5.0,-0.14285714285714285,0.4857142857142857,6.807142857142857,92.84347222473514,1.5
2014-05-12,0.08223000318305478,12.731122646692489,60.68885263268488,51.95364705882353,,31.254,21.167898923444973,15.42206111111111,61.437365659340664,10.643,61.368,13.042125,31.067,1.3333333333333333,-0.19285714285714287,0.6428571428571429,7.0,153.2465517377667,6.0
2014-05-13,0.10007476395955985,14.50920184567554,64.74296956076245,41.58246666666666,,4.6930000000000005,6.151771739130435,24.874546666666664,56.014876227919466,3.0675,2.008,10.836999999999998,,2.0,0.5083333333333333,0.5916666666666667,6.916666666666667,101.55261860536939,4.5
2014-05-14,0.08939047174402553,23.421557269630192,80.58612323232323,54.95400178571428,,,7.171,11.387575,94.96461167402929,23.2,,6.0994,,4.0,0.14444444444444446,0.35833333333333334,6.688888888888889,112.80046956232025,1.5
2014-05-15,0.10611198521538567,11.513338538576463,80.82182390415785,52.799352941176465,,,39.219,10.980633333333335,59.387610947712425,46.5724,2.007,15.532700000000002,,8.0,0.31666666666666665,0.43333333333333335,6.466666666666666,136.98158918516535,3.0
2014-05-16,0.0602265247937294,13.376884147334147,35.250134947509316,39.56484523809524,,,,9.974855555555555,69.85232741773132,,,12.1875,,5.333333333333333,0.3333333333333333,0.9333333333333332,7.133333333333333,75.94484319842402,
